cov_type,eff_rank,is_sphere,is_hyperbolic,curvature,ptile,cutoff_ratio,d,RE
full-rank,50.0,0,0,0,75.0,1.020086733676543,50,1.382207085436334
full-rank,50.0,0,0,0,80.0,1.102456346700465,50,1.341002383766009
full-rank,50.0,0,0,0,82.13,1.1446512372683098,50,1.3219911761175736
full-rank,50.0,0,0,0,85.0,1.2124263490314342,50,1.2943464539866614
full-rank,50.0,0,0,0,90.0,1.3742303095098587,50,1.2394193248186625
full-rank,50.0,0,0,0,95.0,1.6820886123931005,50,1.1684096220248918
full-rank,50.0,0,0,0,99.0,2.5904720021122785,50,1.0747703895492269
full-rank,50.0,0,0,0,99.73,3.478000596921772,50,1.039978211334619
full-rank,100.00000000000004,0,0,0,5.0,0.4498070327727666,100,1.7532126948475828
full-rank,100.00000000000004,0,0,0,10.0,0.4991685127229706,100,1.7349137843379985
full-rank,100.00000000000004,0,0,0,15.0,0.537504944007737,100,1.7152977277640375
full-rank,100.00000000000004,0,0,0,20.0,0.57172069426334,100,1.6943270730761515
full-rank,100.00000000000004,0,0,0,25.0,0.6039996892298887,100,1.6724376048205394
full-rank,100.00000000000004,0,0,0,30.0,0.6353679063166728,100,1.6497513938301374
full-rank,100.00000000000004,0,0,0,35.0,0.6668198553165277,100,1.6259461718967632
full-rank,100.00000000000004,0,0,0,40.0,0.6990551400549441,100,1.6010078539267905
full-rank,100.00000000000004,0,0,0,45.0,0.7328622287723014,100,1.5745935906079218
full-rank,100.00000000000004,0,0,0,50.0,0.7686753719695292,100,1.5469139024637075
full-rank,100.00000000000004,0,0,0,60.0,0.8499103862009983,100,1.4869513374095074
full-rank,100.00000000000004,0,0,0,70.0,0.9536203236908672,100,1.4182829814306614
full-rank,100.00000000000004,0,0,0,75.0,1.0193345863476035,100,1.3802997884170614
full-rank,100.00000000000004,0,0,0,80.0,1.101597325628687,100,1.338522897060296
full-rank,100.00000000000004,0,0,0,82.13,1.142521713370355,100,1.3199070984636303
full-rank,100.00000000000004,0,0,0,85.0,1.2098275410627202,100,1.2920504924150915
full-rank,100.00000000000004,0,0,0,90.0,1.3719210845669814,100,1.237179066399113
full-rank,100.00000000000004,0,0,0,95.0,1.6774936722378695,100,1.1666528533386995
full-rank,100.00000000000004,0,0,0,99.0,2.587550425714923,100,1.0735612337692462
full-rank,100.00000000000004,0,0,0,99.73,3.491363670925064,100,1.038403487790316
full-rank,500.00000000000017,0,0,0,5.0,0.4571222832268472,500,1.7517907651885969
full-rank,500.00000000000017,0,0,0,10.0,0.5056341119335833,500,1.732721358614565
full-rank,500.00000000000017,0,0,0,15.0,0.5434294255783237,500,1.712554100224084
full-rank,500.00000000000017,0,0,0,20.0,0.5767882012207484,500,1.6914367792539673
full-rank,500.00000000000017,0,0,0,25.0,0.6084529981193137,500,1.6692399180600364
full-rank,500.00000000000017,0,0,0,30.0,0.6394047525378344,500,1.646186052555738
full-rank,500.00000000000017,0,0,0,35.0,0.6704493620191688,500,1.622175923907504
full-rank,500.00000000000017,0,0,0,40.0,0.7023238913937196,500,1.5969939178814536
full-rank,500.00000000000017,0,0,0,45.0,0.7355575778659578,500,1.5707401311366
full-rank,500.00000000000017,0,0,0,50.0,0.7714524907944097,500,1.5427183211787832
full-rank,500.00000000000017,0,0,0,60.0,0.8523597156488295,500,1.4825197431671844
full-rank,500.00000000000017,0,0,0,70.0,0.9548424881260416,500,1.4146335791996212
full-rank,500.00000000000017,0,0,0,75.0,1.0202994140840598,500,1.3766112373222612
full-rank,500.00000000000017,0,0,0,80.0,1.102026450837328,500,1.3347684997443563
full-rank,500.00000000000017,0,0,0,82.13,1.1430998022148708,500,1.3159177590279765
full-rank,500.00000000000017,0,0,0,85.0,1.210059230827389,500,1.287998329915597
full-rank,500.00000000000017,0,0,0,90.0,1.3723321561437645,500,1.2324896636150526
full-rank,500.00000000000017,0,0,0,95.0,1.6781286149591583,500,1.1618242363659974
full-rank,500.00000000000017,0,0,0,99.0,2.5760853994904283,500,1.0702374903742582
full-rank,500.00000000000017,0,0,0,99.73,3.4775210647087795,500,1.0359434272487311
