n,epsilon,M-estimator,m_est,x,y,theta
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7558842941660139,0.6547052266731543,0.71379258309034
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7409941558347365,0.6715114749717721,0.7362467004140426
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7625128254644632,0.6469730991333393,0.7036080791740393
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.6872883076902502,-0.726384734223037,-0.8130470343272348
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7583006089566127,0.6519050440486173,0.7100939866684062
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7163281251175307,-0.6977635825733546,-0.7722706724324347
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.6578112215598861,-0.7531828441951458,-0.8528873059108549
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.8490034224274782,0.5283873472240115,0.5566999745596592
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7869756047243336,0.6169841145189775,0.6649046717430809
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7394429732144705,0.6732191986000862,0.7385537526182328
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.7401303196157897,0.6724634636806885,0.737532194771335
500,0.2,"Huber
(Cutoff: π/2)",huber_90,0.827035332205929,0.5621499437721486,0.5969830893762613
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.934334973346717,-0.3563960684143266,-0.36440782631566887
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9505333363606278,0.31062256271419325,0.3158479238838146
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9503327913807796,-0.3112355789854601,-0.3164929101256849
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9380486628933814,-0.3465035440568234,-0.3538411538449178
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9552713245054479,0.2957307839532542,0.3002204296345485
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9417726225510951,-0.33625039392278844,-0.3429326185076005
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9411308937249542,0.3380423655053711,0.344836031004385
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9248376530138611,0.3803620848189418,0.39018777673079436
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9570027860167227,0.29007872647994853,0.2943091003083897
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9554815283597187,0.2950509260507027,0.29950881706482996
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9337509314094173,-0.35792345283879323,-0.3660430659802099
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9485861076127433,0.3165191881136169,0.3220577559923855
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9496581929589268,-0.3132879131820848,-0.3186532713224759
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9546520594972367,-0.2977237734842201,-0.3023074126248476
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9503869219617026,-0.31107024699279706,-0.31631894234802105
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9442594304459976,-0.32920226003749753,-0.33545861925652076
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9413742856460555,0.33736397899653986,0.34411530365988696
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9513126764985196,-0.3082274996382084,-0.3133292532935983
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9377794684678725,-0.3472314336578872,-0.35461722661231226
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9541995418453961,-0.29917091159074116,-0.30382365184245663
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9425099478349247,0.334178093585152,0.34073305509316426
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.956616618491102,0.2913496957723625,0.29563744083685184
500,0.2,"Huber
(Cutoff: π/4)",huber_45,0.9583250886992835,-0.2856799334386508,-0.28971585508328956
